Slang #,Gen,Slang,Meaning
1,Alpha,6-7,"Nonsensical meme punchline, used randomly as a comedic reply"
2,Z,Aesthetic,Pleasing to the eye
3,Alpha,Ate,Did something extremely well
4,Z,Ate,Did something extremely well
5,Alpha,Aura,A person's cool factor or social energy
6,Alpha,Aura farming,Performing actions specifically to look cool to others
7,Z,Bae,Significant other
8,Z,Basic,Unoriginal or mainstream
9,Z,Beige flag,Mildly unusual trait in a partner
10,Alpha,Bet,Agreement or affirmation
11,Z,Bet,Agreement or affirmation
12,Z,Big mad,Very angry
13,Z,Big mood,Strongly relatable feeling
14,Z,Big oof,Big mistake or awkward situation
15,Z,Big yikes,Extremely embarrassing
16,Alpha,Bop,A catchy or good song
17,Z,Bop,A catchy or good song
18,Alpha,Boujee,Luxurious or high-class
19,Z,Boujee,Luxurious or fancy
20,Alpha,Brainrot,Consuming too much mindless or low-quality internet content
21,Z,Brainrot,Consuming too much low-quality internet content
22,Alpha,Brat,"Rebellious, carefree attitude inspired by pop culture"
23,Z,Brat,"Rebellious, carefree attitude"
24,Z,Bussin,"Really good, especially food"
25,Z,Cancelled,Rejected or boycotted
26,Alpha,Canon event,An inevitable life experience that shapes your character
27,Z,Canon event,An inevitable experience that shapes your character
28,Alpha,Cap,Lie or falsehood
29,Z,Cap,Lie or falsehood
30,Alpha,Chill,Relaxed or calm
31,Alpha,Chopped,Unattractive or undesirable
32,Z,Chug,Drink quickly
33,Alpha,Clout,Influence or fame
34,Z,Clout,Influence or fame
35,Z,Clout chasing,Seeking fame or influence
36,Alpha,Clutch,Performing well under pressure
37,Z,Clutch,Performing well under pressure
38,Alpha,Cooked,"Extremely tired, overwhelmed, or finished"
39,Z,Cooked,"Extremely tired, overwhelmed, or finished"
40,Alpha,Crash out,Lose composure or act out dramatically
41,Z,Crash out,Lose composure or act out dramatically
42,Z,Cray,Crazy
43,Alpha,Cringe,Embarrassing or awkward
44,Z,Cringe,Embarrassing or awkward
45,Z,Curve,Reject someone's advances
46,Alpha,D1 crashout,An elite or extreme version of crashing out
47,Alpha,Dank,High quality or excellent
48,Z,Dank,High quality or excellent
49,Alpha,Dank meme,A high-quality or particularly funny meme
50,Z,Dead,Extremely funny
51,Alpha,Deadass,Seriously or truly
52,Z,Deadass,Seriously or truly
53,Alpha,Delulu,"Short for delusional, having wildly optimistic expectations"
54,Z,Delulu,"Short for delusional, wildly optimistic expectations"
55,Alpha,Demure,"Being modest or restrained, often used ironically"
56,Z,Demure,"Being modest or restrained, often used ironically"
57,Alpha,Dope,Cool or awesome
58,Z,Dope,Cool or awesome
59,Alpha,Drip,Stylish or fashionable attire
60,Z,Drip,Stylish or fashionable attire
61,Z,Era,"A phase of life (e.g., ""I'm in my healing era"")"
62,Alpha,Extra,Over the top or excessive
63,Z,Extra,Over the top or dramatic
64,Alpha,FOMO,Fear of Missing Out
65,Z,FOMO,Fear of Missing Out
66,Z,Facts,Agreeing something is true
67,Alpha,Fam,Close friends or family
