Slang;Meaning
6-7;Nonsensical meme punchline, used randomly as a comedic reply
Ate;Did something extremely well
Aura;A person's cool factor or social energy
Aura farming;Performing actions specifically to look cool to others
Bet;Agreement or affirmation
Bop;A catchy or good song
Boujee;Luxurious or high-class
Brainrot;Consuming too much mindless or low-quality internet content
Brat;Rebellious, carefree attitude inspired by pop culture
Canon event;An inevitable life experience that shapes your character
Cap;Lie or falsehood
Chopped;Unattractive or undesirable
Chill;Relaxed or calm
Clout;Influence or fame
Clutch;Performing well under pressure
Cooked;Extremely tired, overwhelmed, or finished
Crash out;Lose composure or act out dramatically
Cringe;Embarrassing or awkward
D1 crashout;An elite or extreme version of crashing out
Dank;High quality or excellent
Dank meme;A high-quality or particularly funny meme
Deadass;Seriously or truly
Delulu;Short for delusional, having wildly optimistic expectations
Demure;Being modest or restrained, often used ironically
Dope;Cool or awesome
Drip;Stylish or fashionable attire
Extra;Over the top or excessive
Fam;Close friends or family
Fanum tax;Taking food from someone (originated from streamer Fanum)
Finesse;To skillfully handle a situation
Fire;Amazing or awesome
Flex;To show off or boast
FOMO;Fear of Missing Out
Ghost;To ignore someone or cut off communication abruptly
Glazing;Excessively praising or complimenting someone
Glow up;A significant transformation or improvement
GOAT;Greatest of All Time
Gucci;Good or cool
Gyatt;Exclamation when seeing someone attractive
Hawk tuah;Viral nonsensical catchphrase
High-key;Openly or obviously
Hype;Excitement or enthusiasm
I can't even;Overwhelmed or speechless
JOMO;Joy of Missing Out
Karen;Entitled or demanding person
Kicks;Shoes, particularly sneakers
Let him cook;Give someone space to finish what they're doing
Legit;Genuine or real
Lit;Exciting or excellent
Litty;Very exciting or fun
Looksmaxxing;Attempting to maximize physical attractiveness
Low-key;Modestly or secretly
Mewing;Pressing tongue to roof of mouth to define the jawline
Mogged;Physically outperformed or overshadowed by someone
Mood;A relatable feeling or situation
Nah I'd win;Confident declaration (anime reference)
No cap;No lie, for real
No chill;Overly intense or serious
Noob;Newbie or inexperienced person
NPC;Someone who acts robotic or scripted in real life
OG;Original or authentic
Ohio;Adjective for something weird, cringe, or chaotic
On fleek;Perfectly styled or groomed
Pog;Play of the Game, an impressive achievement
Receipts;Proof or evidence
Rizz;Short for charisma, ability to charm others
Rizzler;Someone who is highly charismatic or good at flirting
Roast;To humorously insult or criticize
Salty;Upset or bitter
Savage;Ruthless or daring
Shade;Subtle disrespect or criticism
Ship;To support a romantic relationship between people
Shook;Shocked or surprised
Shooketh;Extremely shocked or surprised
Sigma;Independent, cool, or used as nonsensical intensifier
Simp;Someone who is overly attentive to their crush
Skibidi;Nonsensical viral term, used as filler or intensifier
Sksksk;Expression of laughter or excitement
Slaps;Sounds good, especially music
Slay;To do something exceptionally well
Squad;Group of friends
Stan;An overzealous or dedicated fan
Sus;Suspicious or questionable
Swole;Muscular or physically fit
Tea;Gossip or news
Tea spill;To share gossip or secrets
TFW;That Feeling When
Thirst trap;Flirtatious photo posted to attract attention
Thirsty;Desperately seeking attention or validation
Trash;Bad or low quality
Trolling;Deliberately provoking or upsetting others online
Tweaking;Acting strange or out of character
Unc;Short for Uncle, someone perceived as older or out of touch
Unalive;Euphemism for kill/die (to avoid content moderation)
Very mindful;Paired with demure, ironic restraint and modesty
Vibe;Atmosphere or feeling
Vibing;Relaxing or enjoying oneself
W;Win or victory
What the sigma;Nonsensical exclamation, like "What the heck"
Whip;Car
Wig snatched;Amazed or impressed to the point of being speechless
Yap;Talking too much
Yass;Enthusiastic agreement or approval
Yeet;To throw something with force
YOLO;You Only Live Once
Zaddy;Attractive and stylish man
Zoomer;Member of Generation Z or Alpha
