Slang;Meaning
Aesthetic;Pleasing to the eye
Ate;Did something extremely well
Bae;Significant other
Basic;Unoriginal or mainstream
Beige flag;Mildly unusual trait in a partner
Bet;Agreement or affirmation
Big mad;Very angry
Big mood;Strongly relatable feeling
Big oof;Big mistake or awkward situation
Big yikes;Extremely embarrassing
Bop;A catchy or good song
Boujee;Luxurious or fancy
Brainrot;Consuming too much low-quality internet content
Brat;Rebellious, carefree attitude
Bussin;Really good, especially food
Cancelled;Rejected or boycotted
Canon event;An inevitable experience that shapes your character
Cap;Lie or falsehood
Chug;Drink quickly
Clout;Influence or fame
Clout chasing;Seeking fame or influence
Clutch;Performing well under pressure
Cooked;Extremely tired, overwhelmed, or finished
Crash out;Lose composure or act out dramatically
Cray;Crazy
Cringe;Embarrassing or awkward
Curve;Reject someone's advances
Dank;High quality or excellent
Dead;Extremely funny
Deadass;Seriously or truly
Delulu;Short for delusional, wildly optimistic expectations
Demure;Being modest or restrained, often used ironically
Dope;Cool or awesome
Drip;Stylish or fashionable attire
Era;A phase of life (e.g., "I'm in my healing era")
Extra;Over the top or dramatic
Facts;Agreeing something is true
Fam;Close friends or family
Finesse;Skillfully handle a situation
Finsta;Fake Instagram account
Fire;Awesome or amazing
Fit;Outfit
Flex;Show off or boast
FOMO;Fear of Missing Out
Ghost;Disappear or ignore someone
Glazing;Excessively praising or complimenting someone
Glow up;Major transformation or improvement
GOAT;Greatest of All Time
Gucci;Good or cool
High-key;Openly or obviously
Hits different;A unique or special feeling
Hundo P;100 percent, absolutely
Hype;Excitement or enthusiasm
I can't even;Overwhelmed or speechless
Ick;Sudden feeling of disgust toward someone
It's giving;Used to describe something's vibe
I'm dead;So funny it's overwhelming
JOMO;Joy of Missing Out
Juiced;Excited or hyped
Karen;Entitled or demanding person
Keep it 100;Be honest
Kiki;A party or gathering
Left on read;Ignored after reading a message
Let him cook;Give someone space to finish what they're doing
Lit;Exciting or fun
Low-key;Secretly or moderately
Main character;Person who stands out
Mood;A relatable feeling or situation
Mother;Term of admiration for a confident person
No cap;No lie, for real
No chill;Overly intense or serious
On God;I swear
On point;Perfectly executed
OTP;One True Pairing
Periodt;End of discussion, definitive
Pick me;Someone who seeks validation by being different
Ratchet;Unrefined or uncouth
Ratioed;More dislikes than likes
Receipts;Proof or evidence
Red flag;Warning sign in a relationship
Roman Empire;Something you think about frequently
Salty;Bitter or upset
Savage;Fierce or bold
Say less;Understood
Secure the bag;Obtain something valuable
Ship;Support a romantic relationship
Shook;Shocked or surprised
Shooketh;Extremely shocked
Simp;Overly attentive to someone
Situationship;Undefined romantic relationship
Skrt;Sound of tires screeching, means stop
Slaps;Sounds good, especially music
Slide into DMs;Privately message someone
Slay;To do something exceptionally well
Snack;Attractive person
Snatched;Looking exceptionally good
Spill the tea;Share the gossip
Stan;Overzealous or dedicated fan
Sus;Suspicious or suspect
Swerve;Avoid or dodge
TBT;Throwback Thursday
Tea;Gossip or news
TFW;That Feeling When
Thicc;Curvaceous or full-figured
Thirst trap;Flirtatious photo posted for attention
Thirsty;Desperate for attention
Throw shade;Subtly insult or criticize
Trash;Bad or low quality
Trolling;Deliberately provoking others online
Tweaking;Acting strange or out of character
Understood the assignment;Performed perfectly
Unalive;Euphemism for kill/die (to avoid content moderation)
Vibe check;Assess someone's mood or energy
Vibes;Feelings or atmosphere
Vibing;Enjoying the atmosphere
W;Win or success
Wack;Lame or bad
Wavy;Cool or chill
Wig snatched;Amazed or impressed
Woke;Socially aware or conscious
Yap;Talking too much
Yeet;To throw with force
Yikes;Expression of shock or concern
YOLO;You Only Live Once
Zaddy;Attractive, fashionable man
